Rollover Text	Right-Click Text
Покинуть преобразователь	Покинуть преобразователь. Больше никого оживить нельзя
	_6A7854
Trade Window	_6A58D4
Совершить сделку	
Максимум	
Отправить ресурсы другому игроку	
Купить артефакты	
Продать существ	
Выход	
	_6A5904
Give Resource Window	_6A5414
Отправить ресурсы	
Максимум	
Торговать ресурсами	
Купить артефакты	
Выход	
	_6A543C
Buy Artifact Window	_6A7E14
Совершить сделку	
Торговать ресурсами	
Отправить ресурсы другому игроку	
Продать артефакты	
Выход	
	_6A7E3C
Sell Artifact Window	_6A6CBC
Совершить сделку	
Торговать ресурсами	
Отправить ресурсы другому игроку	
Купить артефакты	
Выход	
	_6A6CE4
Sell Creature Window	_6A7F04
Совершить сделку	
Максимум	
Торговать ресурсами	
Отправить ресурсы другому игроку	
Выход	
	_6A7F2C
University Window	_6A7E44
Отмена	Вернуться к выбору навыков
Покинуть университет	Покинуть университет
	Научить %s %s за %d золотых.
	_6A7E64
Insert all data before this line. Do not alter or delete this line.
