Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
98	h	#16	0	1	2	3	4	5	6	7	8	9	10	Гнолл------------>+100% урона Гномам
99	d	+	0	1	2	3	4	5	8	12	15	20	25	Гнолл-Мародёр---->+25 к бонусу защиты
99	h	#16	0	1	2	3	4	5	6	7	8	9	10	Гнолл-Мародёр---->+100% урона Гномам
99	h	#17	0	1	2	3	4	5	6	7	8	9	10	Гнолл-Мародёр---->+100% урона Боевым Гномам
100	b	=	0	3	6	9	12	15	18	21	24	27	30	Ящер------------->Снижение защиты на 30%
100	h	#2	0	1	2	3	4	5	6	7	8	9	10	Ящер------------->+100% урона Арбалетчикам
101	b	=	0	4	8	12	16	20	24	28	32	36	40	Ящер-Воин-------->Снижение защиты на 40%
101	h	#2	0	1	2	3	4	5	6	7	8	9	10	Ящер-Воин-------->+100% урона Арбалетчикам
101	h	#3	0	1	2	3	4	5	6	7	8	9	10	Ящер-Воин-------->+100% урона Искусным Арбалетчикам
102	f	c	0	0	0	0	0	0	0	0	0	0	1	Горгона---------->Кавалерийский бонус
102	h	#92	0	1	2	3	4	5	6	7	8	9	10	Горгона---------->+100% урона Птицам Рух
103	f	c	0	0	0	0	0	0	0	0	0	0	1	Могучая Горгона-->Кавалерийский бонус
103	E	%	10	15	20	25	30	35	40	45	50	55	60	Могучая Горгона-->+50% к Смерт. Взгляду после удара
103	h	#92	0	1	2	3	4	5	6	7	8	9	10	Могучая Горгона-->+100% урона Птицам Рух
103	h	#93	0	1	2	3	4	5	6	7	8	9	10	Могучая Горгона-->+100% урона Птицам Грома
104	f	A	0	0	0	0	0	0	0	0	0	0	1	Змий------------->Атакует всех вокруг себя
104	h	#120	0	1	2	3	4	5	6	7	8	9	10	Змий------------->+100% урона Психическим Элементалям
105	f	A	0	0	0	0	0	0	0	0	0	0	1	Стрекоза--------->Атакует всех вокруг себя
105	h	#120	0	1	2	3	4	5	6	7	8	9	10	Стрекоза--------->+100% урона Психическим Элементалям
105	h	#121	0	1	2	3	4	5	6	7	8	9	10	Стрекоза--------->+100% урона Элементалям Магии
106	r	#25	0	3	6	9	12	15	18	21	24	27	30	Василиск--------->25% шанс регенерации 30 здоровья
106	h	#76	0	1	2	3	4	5	6	7	8	9	10	Василиск--------->+100% урона Медузам
107	r	#50	0	3	6	9	12	15	18	21	24	27	30	Великий Василиск->50% шанс регенерации 30 здоровья
107	E	%	20	25	30	35	40	45	50	55	60	65	70	Великий Василиск->+50% к Окаменению после удара
107	h	#76	0	1	2	3	4	5	6	7	8	9	10	Великий Василиск->+100% урона Медузам
107	h	#77	0	1	2	3	4	5	6	7	8	9	10	Великий Василиск->+100% урона Королевам Медуз
108	a	#73	0	1	2	3	4	5	6	8	10	12	15	Вирвен----------->15% шанс Болезни
108	h	#80	0	1	2	3	4	5	6	7	8	9	10	Вирвен----------->+100% урона Мантикорам
109	a	#73	0	1	2	3	4	5	8	12	15	20	25	Вирвен-Монарх---->25% шанс Болезни
109	E	%	40	45	50	55	60	65	70	75	80	85	90	Вирвен-Монарх---->+50% к Отравлению после удара
109	h	#80	0	1	2	3	4	5	6	7	8	9	10	Вирвен-Монарх---->+100% урона Мантикорам
109	h	#81	0	1	2	3	4	5	6	7	8	9	10	Вирвен-Монарх---->+100% урона Скорпикорам
110	R	+	0	0	0	0	0	1	1	1	2	2	3	Гидра------------>+3 к контрударам
111	R	+	0	0	1	1	2	2	3	3	4	4	5	Гидра Хаоса------>+5 к контрударам
112	s	#28	0	0	0	0	0	1	1	1	1	1	2	Возд.Элементаль-->Зачарован: Воздушный Щит
113	J	#10	0	5	10	15	20	25	30	35	40	45	50	Земл.Элементаль-->50% шанс атаки Зыбучими Песками
113	w	S	0	0	0	0	0	0	0	0	0	0	1	Земл.Элементаль-->Иммунитет к Замедлению
114	s	#29	0	0	0	0	0	1	1	1	1	1	2	Огн.Элементаль--->Зачарован: Огненный Щит
114	f	B	0	0	0	0	0	0	0	0	0	0	1	Огн.Элементаль--->Дыхание дракона
115	K	#20	0	1	2	3	4	5	8	12	15	20	25	Водн.Элементаль-->25% шанс атаки Кольцом Холода
116	d	+	0	3	6	9	12	15	18	21	24	27	30	Золотой Голем---->+30 к бонусу защиты
117	d	+	0	4	8	12	16	20	24	28	32	36	40	Алмазный Голем--->+40 к бонусу защиты
118	a	#47	0	1	2	3	4	5	8	12	15	20	25	Дриада----------->25% шанс атаки Разрушающим Лучём
118	h	#56	0	1	2	3	4	5	6	7	8	9	10	Дриада----------->+100% урона Скелетам
119	a	#47	0	2	4	6	8	10	16	24	30	40	50	Фея-------------->50% шанс атаки Разрушающим Лучём
119	h	#56	0	1	2	3	4	5	6	7	8	9	10	Фея-------------->+100% урона Скелетам
119	h	#57	0	1	2	3	4	5	6	7	8	9	10	Фея-------------->+100% урона Скелетам-Войнам
120	C	=	0	0	0	0	0	1	1	1	1	1	2	Псих.Элементаль-->+2 к снижению манны
120	h	#104	0	1	2	3	4	5	6	7	8	9	10	Псих.Элементаль-->+100% урона Змиям
121	C	=	0	0	0	0	0	1	1	1	2	2	3	Элементаль Магии->+3 к снижению манны
121	w	0	0	0	0	0	0	0	0	0	0	0	1	Элементаль Магии->Податливый
121	h	#104	0	1	2	3	4	5	6	7	8	9	10	Элементаль Магии->+100% урона Змиям
121	h	#105	0	1	2	3	4	5	6	7	8	9	10	Элементаль Магии->+100% урона Стрекозам
122	E	%	20	25	30	35	40	45	50	55	60	65	70	Ополченец-------->+50% к Оглушению после удара
122	f	m	0	0	0	0	0	0	0	0	0	0	1	Ополченец-------->Положительная мораль
123	K	#20	0	1	2	3	4	5	8	12	15	20	25	Элементаль Льда-->25% шанс атаки Кольцом Холода
124	E	%	40	45	50	55	60	65	70	75	80	85	90	Сквайр----------->+50% к Оглушению после удара
124	f	m	0	0	0	0	0	0	0	0	0	0	1	Сквайр----------->Положительная мораль
125	J	#10	0	5	10	15	20	25	30	35	40	45	50	Элементаль Магмы->50% шанс атаки Зыбучими Песками
125	w	S	0	0	0	0	0	0	0	0	0	0	1	Элементаль Магмы->Иммунитет к Замедлению
126	L	#19	0	3	6	9	12	15	18	21	24	27	30	Гвардеец--------->30% шанс заблокировать 20% урона
126	f	f	0	0	0	0	0	0	0	0	0	0	1	Гвардеец--------->Бесстрашный
126	h	#58	0	1	2	3	4	5	6	7	8	9	10	Гвардеец--------->+100% урона Ходячим Мертвецам
126	h	#59	0	1	2	3	4	5	6	7	8	9	10	Гвардеец--------->+100% урона Зомби
127	s	#28	0	0	0	0	0	1	1	1	1	1	2	Элементаль Шторма>Зачарован: Воздушный Щит
128	O	+	0	0	1	1	2	2	3	3	4	4	5	Ветеран Орков---->+5 к выстрелам
128	f	s	0	0	0	0	0	0	0	0	0	0	1	Ветеран Орков---->Стреляет всегда
128	h	#18	0	1	2	3	4	5	6	7	8	9	10	Ветеран Орков---->+100% урона Эльфам
128	h	#19	0	1	2	3	4	5	6	7	8	9	10	Ветеран Орков---->+100% урона Благородным Эльфам
128	h	#192	0	1	2	3	4	5	6	7	8	9	10	Ветеран Орков---->+100% урона Сильванским Кентаврам
129	s	#29	0	0	0	0	0	1	1	1	1	1	2	Элементаль Энерг.>Зачарован: Огненный Щит
129	f	B	0	0	0	0	0	0	0	0	0	0	1	Элементаль Энерг.>Дыхание дракона
130	s	#34	0	0	0	0	0	1	1	1	1	1	2	Жар-Птица-------->Зачарован: Антимагия
131	s	#34	0	0	0	0	0	1	1	1	1	1	2	Феникс----------->Зачарован: Антимагия
131	P	+	0	0	0	0	0	0	0	0	0	0	1	Феникс----------->+1 к количеству колдунств
132	w	4	0	0	0	0	0	1	1	1	1	1	1	Лазурный Дракон-->Иммунитет к магии 4 ур.
132	w	5	0	0	0	0	0	0	0	0	1	1	1	Лазурный Дракон-->Иммунитет к магии 5 ур.
132	w	0	0	0	0	0	0	0	0	0	0	0	1	Лазурный Дракон-->Податливый
133	W	=	50	55	60	65	70	75	80	85	90	95	99	Кристал.Дракон--->+50 к гномьему сопротивлению
133	F	=	0	0	0	0	0	0	0	0	0	0	1	Кристал.Дракон--->Устрашение
134	u	#136	0	1	2	3	4	5	8	12	15	20	25	Сказочный Дракон->Призыв 25% Чародеев во 2 раунде
134	P	+	0	1	2	3	4	5	6	7	8	9	10	Сказочный Дракон->+10 к Количеству колдунств
135	g	=	0	5	10	15	20	25	30	35	40	45	50	Ржавый Дракон---->+50 к големскому сопротивлению
135	w	m	0	0	0	0	0	0	0	0	0	0	1	Ржавый Дракон---->Иммунитет к Магии Разума
136	l	#34	0	5	10	15	20	0	0	0	0	0	0	Чародей---------->Призыв 20% клонов Магов
136	l	#35	0	0	0	0	0	10	15	20	25	30	0	Чародей---------->Призыв 30% клонов Архимагов
136	l	#136	0	0	0	0	0	0	0	0	0	0	40	Чародей---------->Призыв 40% клонов Чародеев
136	p	#25	0	2	4	6	8	10	16	24	30	40	50	Чародей---------->50% шанс Эксторцизма
136	f	u	0	0	0	0	0	0	0	0	0	0	1	Чародей---------->Магическая аура
137	s	#44	0	0	0	0	0	1	1	1	1	1	2	Снайпер---------->Зачарован: Точность
137	f	s	0	0	0	0	0	0	0	0	0	0	1	Снайпер---------->Стреляет всегда
138	s	#55	0	0	1	1	1	1	1	2	2	2	3	Хоббит----------->Зачарован: Палач
139	U	#139	0	10	20	30	40	50	60	70	80	90	100	Крестьянин------->Призыв 100% Крестьян каждый 4-й раунд
140	f	c	0	0	0	0	0	1	1	1	1	1	1	Наездник на Кабан>Кавалерийский бонус
140	f	M	0	0	0	0	0	0	0	0	0	0	1	Наездник на Кабан>Нет боевого духа
141	u	#159	0	10	20	30	40	50	60	70	80	90	100	Мумия------------>Призыв 100% Духов во 2 раунде
142	e	=	0	4	8	12	16	20	24	28	32	36	40	Кочевник--------->40% Смертельного Удара
143	a	#71	0	5	10	15	20	25	30	35	40	45	50	Вор-------------->50% шанс Отравления
144	w	1	0	0	0	0	0	1	1	1	1	1	1	Тролль----------->Иммунитет к магии 1-го уровня
144	f	D	0	0	0	0	0	0	0	0	0	0	1	Тролль----------->Двойной удар
150	P	+	0	1	1	2	2	3	3	4	5	6	7	Серафим---------->+7 к количеству колдунств
150	w	R	0	0	0	0	0	1	1	1	1	1	1	Серафим---------->Иммунитет к Армагеддону
150	w	m	0	0	0	0	0	0	0	0	0	0	1	Серафим---------->Иммунитет к Магии Разума
151	K	#13	0	4	8	12	16	20	32	48	60	80	100	Изумрудный Дракон>100% шанс Огненной Стены
151	w	0	0	0	0	0	0	1	1	1	1	1	1	Изумрудный Дракон>Податливый
151	E	%	40	45	50	55	60	65	70	75	80	85	90	Изумрудный Дракон>+50% к Ослеплению после удара
152	w	A	0	0	0	0	0	1	1	1	1	1	1	Атлант----------->Иммунитет к Магии Воздуха
152	f	s	0	0	0	0	0	0	0	0	0	0	1	Атлант----------->Стреляет всегда
152	E	%	40	45	50	55	60	65	70	75	80	85	90	Атлант----------->+50% к Удару Грома после удара
153	K	#52	0	10	20	30	40	50	60	70	80	90	100	Антихрист-------->100% шанс Неудачи
153	w	m	0	0	0	0	0	0	0	0	0	0	1	Антихрист-------->Иммунитет к Магии Разума
153	E	%	40	45	50	55	60	65	70	75	80	85	90	Антихрист-------->+50% к Окаменению после удара
154	p	#24	0	1	2	3	4	5	10	20	30	40	50	Кровавый Дракон-->50% шанс Волны Смерти
154	l	=	0	5	10	15	20	25	30	35	40	45	50	Кровавый Дракон-->Призыв 50% клонов со 2 раунда
154	K	#50	0	10	20	30	40	50	60	70	80	90	100	Кровавый Дракон-->100% шанс Печали
155	F	=	0	0	1	1	1	1	1	1	1	1	1	Сумеречный Дракон>Устрашение
155	w	0	0	0	0	0	0	0	1	1	1	1	1	Сумеречный Дракон>Податливый
155	f	R	0	0	0	0	0	0	0	0	0	0	1	Сумеречный Дракон>Враг не отвечает на атаку
156	w	S	0	0	1	1	1	1	1	1	1	1	1	Страшилище------->Иммунитет к Замедлению
156	f	f	0	0	0	0	0	0	1	1	1	1	1	Страшилище------->Бесстрашный
156	w	D	0	0	0	0	0	0	0	0	0	0	1	Страшилище------->Иммунитет к ударным заклам
157	R	+	0	0	1	1	2	2	3	3	4	4	5	Кошмарная Гидра-->+5 к контрударам
157	d	+	0	5	10	15	20	25	30	35	40	45	50	Кошмарная Гидра-->+50 к бонусу защиты
157	L	#49	0	5	10	15	20	25	30	35	40	45	50	Кошмарная Гидра-->50% шанс заблокировать 50% урона
158	s	#34	0	0	0	0	0	1	1	1	1	1	2	Священный Феникс->Зачарован: Антимагия
158	P	+	0	0	0	0	0	1	1	1	1	1	1	Священный Феникс->+1 к количеству колдунств
158	F	=	0	0	0	0	0	0	0	0	0	0	1	Священный Феникс->Устрашение
159	B	=	0	5	10	15	20	25	35	45	55	65	75	Дух-------------->75% шанс заблокировать 100% урона
159	w	S	0	0	0	0	0	0	0	0	0	0	1	Дух-------------->Иммунитет к Замедлению
164	f	u	0	0	0	0	0	1	1	1	1	1	1	Костяной Голем--->Магическая аура
164	w	3	0	0	0	0	0	0	0	0	0	0	1	Костяной Голем--->Иммунитет к магии 3 ур.
165	r	#100	0	5	10	15	20	25	30	35	40	45	50	Древень---------->100% шанс регенерировать 50 здоровья
165	w	E	0	0	0	0	0	0	0	0	0	0	1	Древень---------->Иммунитет к Магии Земли
166	K	#45	0	2	5	7	10	12	15	17	20	23	25	Нага-Танк-------->25% шанс Слабости
166	d	+	0	2	5	7	10	12	15	17	20	23	25	Нага-Танк-------->+25 к бонусу защиты
167	b	=	0	2	5	7	10	12	15	17	20	23	25	Никс------------->Снижение защиты на 25%
167	g	=	0	2	5	7	10	12	15	17	20	23	25	Никс------------->+25 к големскому сопротивлению
168	E	%	40	45	50	55	60	65	70	75	80	85	90	Морской Змей----->+50% к Отравлению после удара
168	f	R	0	0	0	0	0	0	0	0	0	0	1	Морской Змей----->Враг не отвечает на атаку
169	p	#15	0	5	10	15	20	25	30	35	40	45	50	Заклинательница-->50% шанс Волшебной Стрелы
169	u	#197	0	10	20	30	40	50	0	0	0	0	0	Заклинательница-->Призыв 50% Нимф во 2 раунде
169	u	#198	0	0	0	0	0	0	40	55	70	85	100	Заклинательница-->Призыв 100% Океанид во 2 раунде
170	O	+	0	1	1	2	2	3	3	4	5	6	7	Пират------------>+7 к выстрелам
170	f	s	0	0	0	0	0	0	0	0	0	0	1	Пират------------>Стреляет всегда
171	O	+	0	1	1	2	2	3	3	4	5	6	7	Корсар----------->+7 к выстрелам
171	f	s	0	0	0	0	0	0	0	0	0	0	1	Корсар----------->Стреляет всегда
172	E	%	20	25	30	35	40	45	50	55	60	65	70	Ламасу----------->+50% к Ослеплению и Смерт. Взгляду
172	F	=	0	0	0	0	0	0	0	0	0	0	1	Ламасу----------->Устрашение
173	G	%	0	10	20	30	40	5	10	20	30	40	50	Санта-Гремлин---->Увеличенная охрана на 50%
173	G	=	0	0	0	0	0	1	1	1	1	1	1	Санта-Гремлин---->Гремлины-Мастера в охране
173	w	2	0	0	0	0	0	0	0	0	0	0	1	Санта-Гремлин---->Иммунитет к магии 2 ур.
192	f	E	0	0	0	0	0	1	1	1	1	1	1	Сильван.Кентавр-->Нет штрафа в рукопашной
192	i	=	0	0	0	0	0	0	0	0	0	0	1	Сильван.Кентавр-->Нет штрафа за расстояние
193	p	#15	0	2	5	7	10	12	15	17	20	23	25	Жрица Моря------->25% шанс Волшебной Стрелы
193	u	#197	0	5	10	15	20	25	30	35	40	45	50	Жрица Моря------->Призыв 50% Нимф во 2 раунде
194	K	#59	0	1	2	3	4	5	8	12	15	20	25	Оборотень-------->25% шанс Берсерка
194	B	=	0	1	2	3	4	5	8	12	15	20	25	Оборотень-------->25% шанс заблокировать 100% урона
195	O	+	0	0	0	0	0	1	1	1	2	2	3	Лилит------------>+3 к выстрелам
195	P	+	0	0	0	0	0	0	0	0	0	0	1	Лилит------------>+1 к заклам
196	p	#24	0	10	20	30	40	50	60	70	80	90	100	Драколич--------->100% шанс Волны Смерти
196	l	=	0	10	20	30	40	50	60	70	80	90	100	Драколич--------->Призыв 100% клонов со 2 раунда
196	K	#50	0	10	20	30	40	50	60	70	80	90	100	Драколич--------->100% шанс Печали
197	w	W	0	0	0	0	0	1	1	1	1	1	1	Нимфа------------>Иммунитет к Магии Воды
197	w	A	0	0	0	0	0	0	0	0	0	0	1	Нимфа------------>Иммунитет к Магии Воздуха
198	w	W	0	0	0	0	0	1	1	1	1	1	1	Океанида--------->Иммунитет к Магии Воды
198	w	A	0	0	0	0	0	0	0	0	0	0	1	Океанида--------->Иммунитет к Магии Воздуха
199	e	=	0	1	2	3	4	5	6	8	10	12	15	Матрос----------->15% шанс Смертельного Удара
200	e	=	0	1	2	3	4	5	8	12	15	20	25	Головорез-------->25% шанс Смертельного Удара
201	f	b	0	0	0	0	0	1	1	1	1	1	1	Дух Океана------->Атака с возвращением
201	f	D	0	0	0	0	0	0	0	0	0	0	1	Дух Океана------->Двойной Удар
202	f	b	0	0	0	0	0	1	1	1	1	1	1	Ассида----------->Атака с возвращением
202	f	D	0	0	0	0	0	0	0	0	0	0	1	Ассида----------->Двойной Удар
203	b	=	0	5	10	15	20	25	30	35	40	45	50	Никс-Воин-------->Снижение защиты на 50%
203	g	=	0	5	10	15	20	25	30	35	40	45	50	Никс-Воин-------->+50 к големскому сопротивлению
204	r	#75	0	10	20	30	40	50	60	70	80	90	100	Аспид------------>75% шанс регенерировать 100 здоровья
204	f	R	0	0	0	0	0	0	0	0	0	0	1	Аспид------------>Враг не отвечает на атаку
205	w	K	0	0	0	0	0	1	1	1	1	1	1	Сатир------------>Иммунитет к Берсерку
205	P	+	0	0	0	0	0	0	0	0	0	0	1	Сатир------------>+1 к заклам
206	E	%	40	45	50	55	60	65	70	75	80	85	90	Фангарм---------->+50% к Гипнозу после удара
206	f	A	0	0	0	0	0	0	0	0	0	0	1	Фангарм---------->Атакует всех вокруг себя
207	w	H	0	0	0	0	0	1	1	1	1	1	1	Лепрекон--------->Иммунитет к Гипнозу
207	P	+	0	0	0	0	0	0	0	0	0	0	1	Лепрекон--------->+1 к заклам
208	f	s	0	0	0	0	0	0	0	0	0	0	1	Штурмовик-------->Стреляет всегда
209	w	1	0	0	0	0	0	0	0	0	0	0	1	Кибер-Контроллер->Иммунитет к магии 1-го уровня
210	w	I	0	0	0	0	0	0	0	0	0	0	1	Огнемётчик------->Иммунитет к Шоку Земли
211	w	I	0	0	0	0	0	0	0	0	0	0	1	Пироманьяк------->Иммунитет к Шоку Земли
212	a	#71	0	10	20	30	40	50	60	70	80	90	100	Ассасин---------->100% шанс Отравления
213	w	E	0	0	0	0	0	0	0	0	0	0	1	Жабоид----------->Иммунитет к Магии Земли
214	P	+	0	0	0	0	0	1	1	1	1	1	2	Русалка---------->+2 к заклам
214	w	C	0	0	0	0	0	0	0	0	0	0	1	Русалка---------->Иммунитет к Магии Холода
215	P	+	0	0	0	0	0	1	1	1	2	2	3	Лесная Фея------->+3 к заклам
215	f	m	0	0	0	0	0	0	0	0	0	0	1	Лесная Фея------->Положительная мораль
216	O	+	0	0	0	0	0	1	1	1	2	2	3	Демонесса-------->+3 к выстрелам
216	P	+	0	0	0	0	0	0	0	0	0	0	1	Демонесса-------->+1 к заклам
217	R	+	0	0	0	1	1	2	2	3	3	4	5	Тритон----------->+5 к контрударам
218	K	#54	0	10	20	30	40	50	60	70	80	90	100	Шаманка---------->100% шанс Замедления
219	f	f	0	0	0	0	0	1	1	1	1	1	1	Латник----------->Бесстрашный
219	f	B	0	0	0	0	0	0	0	0	0	0	1	Латник----------->Дыхание дракона
220	B	=	0	2	4	6	8	10	16	24	30	40	50	Механич.Дракон--->50% шанс заблокировать 100% урона
221	O	+	0	1	1	2	2	3	3	4	5	6	7	Морской Волк----->+7 к выстрелам
221	f	s	0	0	0	0	0	0	0	0	0	0	1	Морской Волк----->Стреляет всегда
222	b	=	0	5	10	15	20	30	40	50	60	70	75	Никс-Страж------->Снижение защиты на 75%
222	g	=	0	5	10	15	20	30	40	50	60	70	75	Никс-Страж------->+75 к големскому сопротивлению
224	f	s	0	0	0	0	0	0	0	0	0	0	1	Пехотинец-------->Стреляет всегда
225	w	1	0	0	0	0	0	0	0	0	0	0	1	Кибер-Зомби------>Иммунитет к магии 1-го уровня
225	E	%	40	45	50	55	60	65	70	75	80	85	90	Кибер-Зомби------>+50% к Болезни после удара
226	O	+	0	0	1	1	2	2	3	3	4	4	5	Стингер---------->+5 к выстрелам
226	f	E	0	0	0	0	0	0	0	0	0	0	1	Стингер---------->Нет штрафа в рукопашной
227	O	+	0	0	1	1	2	2	3	3	4	4	5	Бомбардир-------->+5 к выстрелам
227	f	E	0	0	0	0	0	0	0	0	0	0	1	Бомбардир-------->Нет штрафа в рукопашной
228	E	%	40	45	50	55	60	65	70	75	80	85	90	Ракетчик--------->+50% к Берсерку после удара
228	f	m	0	0	0	0	0	0	0	0	0	0	1	Ракетчик--------->Положительная мораль
229	E	%	40	45	50	55	60	65	70	75	80	85	90	Ракетчик-Ас------>+50% к Берсерку после удара
229	f	m	0	0	0	0	0	0	0	0	0	0	1	Ракетчик-Ас------>Положительная мораль
230	K	#45	0	5	10	15	20	25	30	35	40	45	50	Тяжёлый Нага-Танк>50% шанс Слабости
230	d	+	0	5	10	15	20	25	30	35	40	45	50	Тяжёлый Нага-Танк>+50 к бонусу защиты
231	B	=	0	5	10	15	20	30	40	50	60	70	75	Техно-Дракон----->75% шанс заблокировать 100% урона
